Victim Name,Group Name,Date Published,Country,Description,Website,Activity,Post URL,Discovered,is_k12
Kershaw County School District,blacksuit,2024-01-03 19:06:08.762538,US,"Nestled in the heart of the Palmetto State, the Kershaw County School District is home to almost 10,000 students and over 1,300 employees in 20 schools",kcsdschools.net,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=5P0PSKABN9LpRvzM,2024-01-03 19:06:08.762568,True
Van Buren Public Schools,akira,2024-01-08 17:42:46.127692,US,"The Van Buren Public Schools is a school district headquartered in Belleville, Michigan. A lot of files with information about students and their parents, HR information, accounting and other files.",vanburenschools.net,Public Sector,,2024-01-08 17:42:46.201227,True
Washington School For The Deaf,incransom,2024-01-12 11:48:16.301933,US,ESTABLISHED IN 1886 Washington School for the Deaf is the state of Washington’s only ASL-English bilingual school serving deaf and hard or hearing students in Pre-K through 12th grade.WSD’s...,wsd.wa.gov,Public Sector,http://incapt.blog/blog/leak/14136BB1D6BEC8B0,2024-01-12 11:48:16.361772,True
shenandoahtx.us,lockbit3,2024-01-21 22:48:00.000000,US,"Shenandoah is a city in Montgomery County, Texas, United States. Its population was 3,499 at the 2020 census. It is the hometown of David Vetter, the famous ""boy in the plastic bubble"". In 1986, the Shenandoah city council renamed Tamina School Road...",shenandoahtx.us,Public Sector,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Jk0hMkdkWMqCQvut65aa926a87bbf,2024-01-22 02:52:39.915912,True
Waterford Country School Inc,incransom,2024-01-29 14:55:09.533832,US,For 100 years Waterford Country School has worked to meet the special needs of children and families at risk. Our services and programs have evolved with the transitions that life and community...,waterfordcountryschool.org,Not Found,http://incapt.blog/blog/leak/837D7A1BA838A2AF,2024-01-29 14:55:09.867573,True
Castilleja School,akira,2024-01-29 17:58:49.713003,US,Castilleja School is an independent school for girls in grades six through twelve. We are going to upload about 10GB of data containing various files containing education process and administrative information. Numerous files with information about students.,castilleja.org,Not Found,,2024-01-29 17:58:49.770796,True
Grace Lutheran Foundation,alphv,2024-02-09 17:32:19.123456,US,"Grace Lutheran Foundation Inc. is an organization who offers many areas of care for seniors including: Independent apartments for seniors, Assisted Living, Adult Day Services, Memory Care, Short -term Rehabilitation, Skilled Nursing and School aged childcare program.  The Grace Lutheran Communities network had been breached recently by our organization. As a result over 70GB of data leaked from there.   After a few weeks of negotiations Grace Lutheran Communities refused to protect data of its employees and patients/customers unfortunately. That is why these data is being shared right now to public for free. ",www.graceluthfound.com,Healthcare,http://alphvuzxyxv6ylumd2ngp46xzq3pw6zflomrghvxeuks6kklberrbmyd.onion/35a1f39c-2aee-4a97-b878-56c747bd68ff,2024-02-09 17:50:15.916790,True
grotonschools.org,lockbit3,2024-02-12 07:19:00.000000,US,"grotonschools.orgGroton Public Schools (GPS, Groton School District) is a school district in New London County, Connecticut based in the city of Groton, Connecticut, United States. The Groton Public School District services approximately 4,000 stud...",grotonschools.org,Public Sector,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/AU7D2juS0OMZmtGU65c9c66df16cf,2024-02-12 10:34:42.223087,True
robs.org,lockbit3,2024-02-12 07:16:00.000000,US,"River Oaks Baptist School is a private Christian school with grades Preschool-8 in the heart of Houston, Texas",robs.org,Public Sector,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/yZW5mkd5dJB8HJTu65c9c5ac2c91e,2024-02-12 10:35:46.841600,True
Nekoosa School District,akira,2024-02-14 17:56:17.737386,US,"Nekoosa School District is a public school district located in NEKOOSA, WI. Files of this district will be available for downloading soon. Some personal information of staff and students can be found inside. Addresses, phone numbers, scans of documents and so on.",nekoosa.k12.wi.us,Public Sector,,2024-02-14 17:56:17.815306,True
River Delta Unified School District,meow,2024-02-20 00:00:00.000000,US,FREE,,Public Sector,http://meow6xanhzfci2gbkn3lmbqq7xjjufskkdfocqdngt3ltvzgqpsg5mid.onion/story/river-delta-unified-school-district,2024-02-20 19:15:46.260395,True
Family Health center,alphv,2024-02-23 20:48:50.123456,US,"Since Moses L. Walker and his colleagues opened the doors for the first time in 1971, Family Health Center (FHC) has been serving community members who are in need of quality and compassionate healthcare. From humble beginnings in a converted trailer to the current state-of-the-art $10 million facility on the same plot of land at the corner of Paterson and Burdick Streets, FHC has become the county’s only Federally Qualified Health Center (FQHC). FHC has also been accredited as a community-based health center by the National Committee for Quality Assurance for over a decade.  What began as a group of dedicated community advocates, volunteer doctors, nurses and assistants is now, more than 53 years later, one of Michigan’s most highly recognized FQHCs. Our team offers comprehensive health services at three locations, with an additional set of mobile health and dental units. Our staff administers approximately 165,000 patient visits annually as part of our commitment to serve the community members of Kalamazoo.  Our leadership and staff at FHC are also passionate about community engagement. Our annual events include the Dr. Lisandra Soto Dental Day of Caring and Back to School Bash. FHC also provides Medical Assistant training to community members interested in pursuing this career path.  One of the hallmarks of FHC is our compassionate staff. We are grateful to all our team members who remain dedicated to honoring Mr. Walker’s legacy and mission of keeping our community members healthy and strong. As we continue our mission to provide quality health care to everyone, we remember our promise to treat our patients with dignity and respect.",fhckzoo.com,Healthcare,http://alphvuzxyxv6ylumd2ngp46xzq3pw6zflomrghvxeuks6kklberrbmyd.onion/eec048cb-5ced-4ed4-8763-f2eb39dd042d,2024-02-23 22:19:23.575570,True
PEDDIE.ORG,clop,2024-02-26 22:10:35.085251,US,Co-Ed Boarding & Day School in NJ - The Peddie School,www.PEDDIE.ORG,Not Found,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/peddie-org,2024-02-26 22:10:35.085279,True
Orange Public School District,incransom,2024-02-28 05:55:54.792660,US,Vision The Orange Public School District commits to provide a safe and caring environment where each student is expected to grow and succeed. We pledge to prepare all students with equitable...,,Public Sector,http://incblog7vmuq7rktic73r4ha4j757m3ptym37tyvifzp2roedyyzzxid.onion/blog/leak/7F86798BA1BB64BD,2024-02-28 05:55:54.920438,True
central.k12.or.us,lockbit3,2024-03-05 12:36:00.000000,US,"Monmouth Elementary School is a company that operates in the Education industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in Monmouth, Oregon.",central.k12.or.us,Public Sector,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/CUb7k0lD80FA1ubC65e6b55f4767f,2024-03-05 14:49:58.359155,True
Judge Rotenberg Center,blacksuit,2024-03-13 11:55:57.570449,US,The JUDGE ROTENBERG CENTER (JRC) is a special needs day and residential school located in Canto,judgerc.org,Healthcare,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=U9GVrOdv67UKuV0T,2024-03-13 11:55:57.570474,True
dhanisisd.net,lockbit3,2024-03-06 00:00:00.000000,US,"D'Hanis Independent School District is a public school district in Texas.You can contact the main system administrator on the contacts below, waiting for an answer can take some time from 1 minute to several days depending on the workload.Conta...",dhanisisd.net,Education,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/OUdpbFCPkyS0fPd665f2e9f0e30bf,2024-03-14 13:16:10.403374,True
South St Paul Public Schools,blacksuit,2024-03-15 11:48:50.477195,US,South St Paul Public Schools is a company that operates in the Education industry. It employs 251-500 people and has $25M-$50M of revenue.,www.sspps.org,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=3MsgUJjxz5gyfB1m,2024-03-15 11:48:50.477218,True
Burnham Wood Charter Schools,qilin,2024-03-25 16:19:46.388691,US,"Burnham Wood Charter Schools provides a variety of sports at the elementary, middle, and high school levels.",burnhamwood.org/,Public Sector,,2024-03-25 16:19:46.388718,True
Traverse City Area Public Schools ,medusa,2024-04-13 15:44:28.123450,US,"Traverse City Area Public Schools is a public school district based in Traverse City, Michigan, United States. This district includes 10 elementary schools, 2 middle schools, 2 high schools, 1 alternative high school, and 1 Montessori school. The district serves 8,908 students. Traverse City Area Public Schools school district office is located in 412 Webster St Rm C, Traverse City, Michigan, 49686, United States and has 932 employees.  The total amount of data leakage is 1.2 TB",,Public Sector,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=8095908ad5c2f233ab4fdfa4505e7b84,2024-04-14 13:08:37.121280,True
Fullington Trailways,dragonforce,2024-04-15 19:19:14.893814,US,"Fullington Auto Bus Co. Inc. provides transportation services. It offers intercity scheduled line run services from central Pennsylvania to destinations in Pittsburgh, Harrisburg, and Wilkes-Barre, Pennsylvania; and Buffalo, New York. The company also provides round trip transportation, limousines, VIP cruises, and school bus contracting services, as well as gift cards. Fullington Auto Bus Co. Inc. was founded in 1908 and is based in Clearfield, Pennsylvania. As of September, 2009, Fullington Auto Bus Co. Inc. operates as a subsidiary of RATP Développement.",fullingtontours.com,Transportation/Logistics,,2024-04-15 21:22:51.185575,True
Delano Joint Union High School District,incransom,2024-04-17 17:51:33.471408,US,"The Delano Joint Union High School District is a District of rich tradition, high expectations, and a century of outstanding achievement.  Delano High School began in 1911 with fourteen students and...",www.djuhsd.org/,Public Sector,http://incblog7vmuq7rktic73r4ha4j757m3ptym37tyvifzp2roedyyzzxid.onion/blog/leak/4E95F366C5E18FFB,2024-04-17 17:51:33.665418,True
pittsburg.k12.ca.us,dispossessor,2023-06-06 20:31:00.000000,US,"Pittsburg Unified School District is a public school district based in Contra Costa County, California, United States usd250.k12.ks.us\sql_admin:PeekABoo",pittsburg.k12.ca.us,Public Sector,https://dispossessor.com/blogs/771,2024-04-19 10:11:16.841367,True
sbhc.us,dispossessor,2023-04-19 10:02:00.000000,US,"Southwest Behavioral Health Center (SBHC), created in 1986, is a public provider of comprehensive, integrated mental health and addiction services, offering outpatient, residential, school-based, and community-based programs and services to individua...",sbhc.us,Healthcare,https://dispossessor.com/blogs/670,2024-04-19 10:42:51.240989,True
colonial.edu,lockbit3,2024-05-01 07:45:00.000000,US,"The Colonial School District draws approximately 5,400 students from the Borough of Conshohocken, and the Townships of Plymouth and Whitemarsh in Montgomery County, Pennsylvania, just northwest of Philadelphia.",colonial.edu,Education,http://lockbit3753ekiocyo5epmpy6klmejchjtzddoekjlnt6mu3qh4de2id.onion/post/8RqJa3ECTPUyr2qM6631f3119fd2e,2024-05-01 10:22:44.258379,True
evw.k12.mn.us,lockbit3,2024-03-23 00:00:00.000000,US,"The EVW School District prides itself in having schools that have earned a positive reputation for high standards and rigor in academics, arts, and athletics.",evw.k12.mn.us,Public Sector,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/hVUtjIAyv5cnkBat663c9bf78532e,2024-05-09 12:52:56.349824,True
colonialsd.org,lockbit3,2024-04-26 00:00:00.000000,US,https://mega.nz/folder/l60i2aLR#1pTmoxhVwJrSvVhJ1V3F5g We are publishing sample partial (~50GB) from the data of Colonial School District. We have more 500GB available to sell. Contact us for a deal before 26th May with offers. If we do not receiv...,colonialsd.org,Public Sector,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/aXK1ipi8pMYbuWT2663dbf52ae7f7,2024-05-10 08:27:54.196979,True
hesperiausd.org,lockbit3,2024-05-13 14:29:00.000000,US,Hesperia Unified School District was formed in 1987. Hesperia Unified School District serves the City of Hesperia and adjacent areas in the High Desert of San Bernardino County and covers 140 square miles.,hesperiausd.org,Public Sector,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/KaYsf1tilyyyA3Fr66422312ac970,2024-05-13 16:37:43.828961,True
district70.org,lockbit3,2024-05-15 14:47:00.000000,US,"Pueblo County School District 70 is located in beautiful Pueblo, Colorado, where the Fountain and Arkansas Rivers converge and the eastern foothills of the Rocky Mountains meet the Great Plains. Established in 1950 through the consolidation of 35 sma...",district70.org,Public Sector,http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion/post/4df3z4xExhY1lnry6644c9e616a1d,2024-05-15 16:50:58.104323,True
Delano Adult School (DJUHSD.ORG),incransom,2024-04-17 16:42:27.193000,US,"The Delano Joint Union High School District is a District of rich tradition, high expectations, and a century of outstanding achievement.  Delano High School began in 1911 with fourteen students and two teachers.  Over 100 years later, our District serves more than 4200 students and employs over 400 dedicated employees.  Cesar E. Chavez opened its doors in 2003 and Robert F. Kennedy, our newest school, began in 2008.   In addition, we have an alternative site, Valley High School, and an adult education agency which serves over 1200 students from Delano and the outlying area.  Our schools are all high achieving schools.  Both Delano High School and Cesar E. Chavez High School were named as California Distinguished Schools in 2011 and again in 2019.  All three comprehensive sites have been named by U.S. News and World Report as Americaâ€™s Best High Schools, either at the Silver or Bronze level; Cesar E. Chavez is a Title 1 Academic Achievement Award winner, as well as a National Title 1 Distinguished School.  Valley High School was recently named as a Model Continuation School.  In 2019, the Delano Joint Union High School District was recognized as a California Exemplary District.",,Public Sector,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/661ffbf35d7bceeb5660355b,2024-05-20 09:57:33.314536,True
Cressex Community School,ransomhouse,2024-03-25 00:00:00.000000,US,"High educational achievement and a positive attitude to learning are keys to lifetime success.  At Cressex Community School we firmly believe that high achievement for each student is our shared responsibility.  As a team of staff, we aim to ensure that everyone in the school is able to achieve to her or his full potential and, we hope, to discover new skills and talents too. We want our learners to be happy, confident and to have high aspirations for themselves. We believe in strong home-school links to ensure the right support is available in school and at home.",www.cressex.org,Public Sector,http://zohlm7ahjwegcedoz7lrdrti7bvpofymcayotp744qhx6gjmxbuo2yid.onion/r/3ec7f7196f7775e55e078afa44f52545a50a241c,2024-05-22 16:35:28.432259,True
colfax.k12.wi.us - $150.000,blacksuit,2024-04-25 00:00:00.000000,US,,www.colfax.k12.wi.us,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=nmbWBV7pk7juw51l,2024-05-24 03:59:02.365696,True
Crandall ISD (CISD.crandallisd.org),incransom,2024-05-20 13:40:31.828000,US,"Crandall Independent School District is a 4-A school district fully accredited by the Texas Education Agency. CISD serves students in Pre-Kindergarten through 12th grade and is located in Crandall, Texas in the southwest portion of Kaufman County.",crandallisd.org,Public Sector,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/664b52cfb24e38251bc510c6,2024-05-25 09:29:56.513957,True
Parrish-McCall Constructors,dragonforce,2024-06-08 15:34:05.632264,US,"Parrish-McCall Constructors is a full-service commercial construction company based in Gainesville, Florida that provides services in General Contracting, Design-Build, and Construction Management. We specialize in K-12 education, healthcare, higher education, government, and commercial construction for both public and private clients. Formed in 1968 as M.M. Parrish Construction Company, Parrish-McCall continues to be a relationship based construction firm whose primary goal is to build lasting relationships with clients by delivering quality and value through an open, transparent process. ",parrish-mccall.com,Construction,,2024-06-08 15:41:37.290982,True
CONTROLNET,incransom,2024-05-29 08:58:05.696000,US,"Where Smart Buildings Are Built ControlNET has earned the reputation as one of the most proficient system integrators in the region. With exceptional and responsive customer service, we create building management systems to analyze deficiencies, find solutions, and save energy.   Our goal is to increase comfort and security while optimizing operational costs.  This company has taken very poor care of the data entrusted to them by its customers. In the course of a successful attack, we stole a huge amount of data. We also attacked the clients of this company ROCKFORD SCHOOL. Which we have access to thanks to CONTROL NET.",,Technology,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/6656ee1db24e38251bd018f7,2024-06-10 02:04:52.734304,True
Rockford Public School District,incransom,2024-05-30 10:37:41.333000,US,"In the course of successful work with this company, we have more than 1.5 TB of data in our hands. Data on students, passports of employees and students. Data on all incidents in recent years. All financial documents, all mail correspondence. And much, much more. In case of refusal to agree, all information will be published.",rps205.com,Public Sector,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/665856f5b24e38251bd20aef,2024-06-10 02:05:31.053100,True
colfax.k12.wi.us,blacksuit,2024-04-25 00:00:00.000000,US,,www.colfax.k12.wi.us,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=nmbWBV7pk7juw51l,2024-06-16 18:13:00.722994,True
DERBY SCHOOL,incransom,2024-06-11 05:30:01.879000,US,"Welcome to the Upper Darby School District, home of the Royals!  Located just outside of Philadelphia, we are one of the largest township school districts in the United States, educating over 12,000 students every day, who represent over 60 countries and 70 languages!  From celebrations to graduations, there's always something exciting happening in one of our fourteen schools, as we strive to provide opportunity, create unity, and showcase our excellence here at the Upper Darby School District!",upperdarbysd.org,Public Sector,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/6667e0d93547f22b7c469e58,2024-06-19 11:42:48.026583,True
West Allis-West Milwaukee School District,fog,2024-07-11 00:00:00.000000,US,"9,5 GB",,Public Sector,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/668e85ee7b58c0b6d888859e/,2024-07-16 21:42:34.543302,True
Alvin Independent School District,fog,2024-07-04 00:00:00.000000,US,60GB,,Public Sector,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/posts/6686af377b58c0b6d88884b2/,2024-07-16 21:43:01.184921,True
norton.k12.ma.us,lockbit3,2024-07-17 12:39:00.000000,US,"Norton High School is a company that employs 250to499 people and has 25Mto50M of revenue. The company is headquartered in Norton, Massachusetts.",,Public Sector,http://lockbit3753ekiocyo5epmpy6klmejchjtzddoekjlnt6mu3qh4de2id.onion//post/YW26QZ8DKmIlQTFc6697bb40cfdfd,2024-07-19 09:30:20.890463,True
www.chsd117.org,blacksuit,2024-07-30 13:42:20.641505,US,"Community High School District 117, being a community of learners with a vision of excellence, is committed to providing an educational experience that encourages all learners to develop to their fullest potential, to engage in lifelong learning, and to be responsible members of society.",www.chsd117.org,Public Sector,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=ij7jzbDpvjhFZPVP,2024-07-30 13:42:21.462631,True
fremontschools.net,lockbit3,2024-05-13 00:00:00.000000,US,"Fremont Ross High School is a public high school in Fremont, Ohio, United States. It is the only high school in the Fremont City School District, and one of two high schools in Fremont, the other being Saint Joseph Central Catholic High School. The s...",fremontschools.net,Public Sector,http://lbb6ud2vyf23z4hw6fzskr5gru7eftbjfbd6yzra3hzuqqvjy63blqqd.onion//post/0eBBOZcJ7RhZyGuQ66b8498a03bfd,2024-08-11 07:52:44.274655,True
bedford.k12.oh.us,ransomhub,2024-08-12 16:24:48.000000,US,,bedford.k12.oh.us,Public Sector,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/da72ac9e-fbcd-4a06-9dd5-3ec1561b17fe/,2024-08-12 19:03:49.246440,True
ccsdschools.com,ransomhub,2024-07-18 00:00:00.000000,US,"Charleston County School District (CCSD) is a public school district in Charleston, South Carolina, dedicated to providing quality education to students from pre-kindergarten through 12th grade. It serves a diverse student population and focuses on academic excellence, innovative programs, and community involvement. The district aims to prepare students for future success through comprehensive educational opportunities.",ccsdschools.com,Public Sector,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/e58ad551-a244-4724-bb3e-9433ba724e32/,2024-08-19 09:17:56.899246,True
schoolrush.com,killsec,2024-08-22 21:49:15.731546,US,"School Rush platform allows schools to publish personalized calendar of events to parents, send classroom pictures and activities to parents instantly, publish staff and student directories, and create notifications.",schoolrush.com,Technology,http://kill432ltnkqvaqntbalnsgojqqs2wz4lhnamrqjg66tq6fuvcztilyd.onion/post/xSA4WZHlY8jX9nPsSqGwmDb1z.php,2024-08-22 21:49:16.880527,True
cps-k12.org,ransomhub,2024-09-05 19:50:52.000000,US,"Cincinnati Public Schools (CPS) is a comprehensive public school district serving the city of Cincinnati, Ohio. It encompasses various elementary, middle, and high schools, providing education to a diverse student body. CPS is dedicated to fostering academic excellence, equity, and innovation, offering specialized programs and extracurricular activities to meet the needs and interests of its students.",cps-k12.org,Public Sector,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/362b91ff-146c-4347-ae5d-193cb502fe30/,2024-09-05 21:45:43.034796,True
